n,txid,exito,t_verificacion_s,metadatos_ok,integridad,bloque,id_registro,sha256_recuperado
66,c430315f523f0d73781af905d05cbb1012bbeca5491953c796c0f197eec00255,True,0.206,True,OK,4911561,LCD-D2CDAFD7083D,4c7f4343770f8b4b10e0602376227c2ab4bff70ae7c735cbe3a161e964dbdf06
67,c4ca4c24686e08aecb5bd221a11032f5bc20adc0672e3319d810cbf1ec57fa7d,True,0.203,True,OK,4911564,LCD-F2A6863445BE,873d0d20be4591238edd4edf3e33824b260b0062e6e503b5737148ed6fe55281
68,4b37935f6cfe9329220dedcb8dc4990a07119e5be1675bbbb32f25626e907742,True,0.22,True,OK,4911565,LCD-BB233843F2E3,322a37616f98844d69476a35edf71dc5857bb85e39fb8c475ff4ccb1c67b710c
69,a3a81771003a4fd0166b6f80ed4f1b8594effb6cd441a3dff5632030fd863c13,True,0.22,True,OK,4911567,LCD-3EDB1801D75F,44365104966b4915fc7ef2e387e703bfa8dd5787db19762125e5fbb5b8e9e97d
70,47e32d121f9c7fcb5a390daab2c7049521239f4f7efa6a74585a7a840222f47c,True,0.207,True,OK,4911569,LCD-1AB237A89CF9,bd8d23850d347057f33985b0260ff13ea65750d63e53667a82c9c0e4b6f8a466
71,c2a3014d06136769f7be780f69358c4209ba908594033eae45595df640da9394,True,0.23,True,OK,4911572,LCD-C9A25A454A43,b1a7cab6174948e25718323d210c69e99f55526e5773215f4edab39ac31ce84f
72,cc3dfb0aef312e6715fde9564ed84a16b787524ddf2cd82a384d1abf41e73a3c,True,0.232,True,OK,4911573,LCD-C35A4C4974EC,bf82b5358414370344191289f184a41d2ef400cbc73467cd23a05f08c7a18534
73,8cf02724950f122056fa6224f0d227300302ed3f39433ca86ff4a335e658e27e,True,0.212,True,OK,4911574,LCD-077C01AD6422,9bd2367464661574dbb0ee9ed5ad8b1125e6f23d63653488a4cd25b3522d4c7b
74,5260e20fa377158b005693c36c9a103c1443d3f60afce6147f1e8164fd81bd7d,True,0.217,True,OK,4911576,LCD-80E76CCA39A3,332dd440e92399e19e1b46391b08b28173e2b34128e7a76d9fa855782e19c990
75,489eb0b9cd3ece4967c6ad625e132d89f08b00b5e6803c6cebecaf63aee48cf8,True,0.203,True,OK,4911579,LCD-98CED1D9C049,58940d206fb869695d4689addac22ebf4c8071bc0174e3a2406b0ca4fba0fd81
